이름,뉴스,생성 일시,유형,이벤트 시간,제출상태,참석자,최종 편집 일시,최종 편집자
0220,,2024년 2월 20일 오후 7:59,회의,,Not started,,2024년 6월 4일 오전 8:57,J
0222,,2024년 2월 22일 오후 8:00,,,Not started,,2024년 6월 4일 오전 8:57,J
0225,,2024년 2월 25일 오후 6:01,,,Not started,,2024년 6월 4일 오전 8:57,J
0226,,2024년 2월 26일 오후 4:16,,,Not started,,2024년 6월 4일 오전 8:57,J
0228,,2024년 2월 28일 오후 8:02,,,Not started,,2024년 6월 4일 오전 8:57,J
1차 주제 회의,,2024년 2월 7일 오후 8:09,회의,2024년 1월 9일,Not started,"Jisu지수 Ryu, J, 한예지, /임베디드시스템공학과 구민성",2024년 3월 2일 오후 2:02,Jisu지수 Ryu
시각장애인을 위한 골프 서비스/tech-pioneers - 백업,,2024년 3월 4일 오후 8:40,,,Done,,2024년 3월 30일 오후 3:22,Jisu지수 Ryu
스마트 유도등,,2024년 3월 2일 오후 2:03,,,반려,,2024년 3월 29일 오후 4:22,/임베디드시스템공학과 구민성
퍼팅서포터/tech-pioneers,,2024년 3월 10일 오전 1:36,,,Done,,2024년 5월 7일 오후 8:20,J
사운드골핑/tech-pioneers -백업,,2024년 3월 9일 오후 8:16,,,Done,,2024년 3월 30일 오후 3:22,Jisu지수 Ryu
퍼팅서포터/tech-pioneers - 백업,,2024년 3월 5일 오후 3:19,,,Done,,2024년 3월 30일 오후 3:22,Jisu지수 Ryu
사운드골핑/tech-pioneers -백업,,2024년 3월 10일 오전 1:36,,,Done,,2024년 3월 30일 오후 3:22,Jisu지수 Ryu
5월 1주차 보고서 (0428 - 0505),,2024년 5월 4일 오전 11:51,,,Not started,,2024년 5월 5일 오후 10:13,J
0303,,2024년 3월 3일 오후 7:29,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu
0302,,2024년 3월 2일 오후 2:00,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu
0301,,2024년 3월 1일 오후 2:02,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu
아이드로퍼 보완점,,2024년 2월 19일 오후 8:11,회의,,반려,,2024년 3월 30일 오후 3:22,Jisu지수 Ryu
0304,,2024년 3월 4일 오후 8:07,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu
0305 조교님 피드백,,2024년 3월 5일 오후 1:55,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu
0307-0308,,2024년 3월 7일 오후 7:34,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu
0309,,2024년 3월 9일 오후 8:00,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu
0312,,2024년 3월 12일 오후 7:23,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu
0416,,2024년 3월 18일 오후 6:46,,,Not started,,2024년 4월 17일 오전 3:18,한예지
0501,,2024년 5월 1일 오전 10:16,,,Not started,,2024년 6월 4일 오전 8:57,J
0504,,2024년 5월 4일 오후 7:57,,,Not started,,2024년 6월 4일 오전 8:57,J
0509,,2024년 5월 9일 오후 6:20,,,Not started,,2024년 6월 4일 오전 8:57,J
0506,,2024년 5월 6일 오후 1:02,,,Not started,,2024년 6월 4일 오전 8:57,J
0511,,2024년 5월 11일 오후 1:15,,,Not started,,2024년 6월 4일 오전 8:57,J
0513,,2024년 5월 13일 오후 2:08,,,Not started,,2024년 6월 4일 오전 8:57,J
3월,,2024년 5월 13일 오후 4:45,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu
2월,,2024년 5월 13일 오후 4:45,,,Not started,,2024년 6월 4일 오전 8:57,J
0318,,2024년 3월 18일 오후 6:22,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu
0514,,2024년 5월 14일 오후 5:48,,,Not started,,2024년 6월 4일 오전 8:57,J
0518,,2024년 5월 18일 오후 1:08,,,Not started,,2024년 6월 4일 오전 8:57,J
