tts_flag,Name,beep.wav / mp3,Parent item,Sub-item
,공과 헤드 사이의 거리,TTS,헤드 정렬이 된 경우 (%E1%84%87%E1%85%B5%E1%84%91%E1%85%B3%E1%84%8B%E1%85%B3%E1%86%B7%20%E1%84%89%E1%85%A9%E1%84%89%E1%85%B3%203efa5b72f28549bfa153bafc1d251203/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20454727f48ec342c394f39b0c461532e2/%E1%84%92%E1%85%A6%E1%84%83%E1%85%B3%20%E1%84%8C%E1%85%A5%E1%86%BC%E1%84%85%E1%85%A7%E1%86%AF%E1%84%8B%E1%85%B5%20%E1%84%83%E1%85%AC%E1%86%AB%20%E1%84%80%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%AE%2074424806af09405d808b1f0de7ceaad6.md),
1,ball missing,high_1_beep,,
2,ball_align - bottom,TTS,,
3,ball_align - up,TTS,,
4,head_missing,mid_beep_half,,
5,head_center_up,up,,
6,head_center_down,down,,
7,head_align,low_beep_half,,
,헤드 정렬이 된 경우,,,"공과 홀 사이의 거리 (%E1%84%87%E1%85%B5%E1%84%91%E1%85%B3%E1%84%8B%E1%85%B3%E1%86%B7%20%E1%84%89%E1%85%A9%E1%84%89%E1%85%B3%203efa5b72f28549bfa153bafc1d251203/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20454727f48ec342c394f39b0c461532e2/%E1%84%80%E1%85%A9%E1%86%BC%E1%84%80%E1%85%AA%20%E1%84%92%E1%85%A9%E1%86%AF%20%E1%84%89%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8B%E1%85%B4%20%E1%84%80%E1%85%A5%E1%84%85%E1%85%B5%20d0ecaca9e4aa4075afaffe241860dd2d.md), 공과 헤드 사이의 거리 (%E1%84%87%E1%85%B5%E1%84%91%E1%85%B3%E1%84%8B%E1%85%B3%E1%86%B7%20%E1%84%89%E1%85%A9%E1%84%89%E1%85%B3%203efa5b72f28549bfa153bafc1d251203/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20454727f48ec342c394f39b0c461532e2/%E1%84%80%E1%85%A9%E1%86%BC%E1%84%80%E1%85%AA%20%E1%84%92%E1%85%A6%E1%84%83%E1%85%B3%20%E1%84%89%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8B%E1%85%B4%20%E1%84%80%E1%85%A5%E1%84%85%E1%85%B5%201ef3487930404ba7b607d8cec40f39c6.md)"
,공과 홀 사이의 거리,TTS,헤드 정렬이 된 경우 (%E1%84%87%E1%85%B5%E1%84%91%E1%85%B3%E1%84%8B%E1%85%B3%E1%86%B7%20%E1%84%89%E1%85%A9%E1%84%89%E1%85%B3%203efa5b72f28549bfa153bafc1d251203/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20454727f48ec342c394f39b0c461532e2/%E1%84%92%E1%85%A6%E1%84%83%E1%85%B3%20%E1%84%8C%E1%85%A5%E1%86%BC%E1%84%85%E1%85%A7%E1%86%AF%E1%84%8B%E1%85%B5%20%E1%84%83%E1%85%AC%E1%86%AB%20%E1%84%80%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%AE%2074424806af09405d808b1f0de7ceaad6.md),
,game_win,nice-shot,,
,game_lose,lose,,
,헤드가 오른쪽(시계)으로 기울어졌을 때,low_beep_half,,
,헤드가 왼쪽(반시계)으로 기울어졌을 때,high_2_beep_half,,
